VI,ORISSA,Roaming,152,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming @ 75 paise/ min. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,OR,180 Days,NULL,18,NULL,,,,
VI,ORISSA,Roaming,252,Tariff Benefit : All Local Calls @ 0.78/ min. on Home & Roaming Network All STD Calls @ 0.90/ min. on Home & Roaming Network All Incoming Calls while Roaming is free. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,OR,180 Days,NULL,18,NULL,,,,
VI,MUMBAI,Roaming,152,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming @ 75 paise/ min. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,MU,180 Days,NULL,18,NULL,,,,
VI,MUMBAI,Roaming,252,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming is free. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,MU,180 Days,NULL,18,NULL,,,,
VI,MAHARASHTRA,Roaming,152,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming @ 75 paise/ min. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,MH,180 Days,NULL,18,NULL,,,,
VI,MAHARASHTRA,Roaming,252,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming is free. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,MH,180 Days,NULL,18,NULL,,,,
VI,KOLKATA,Roaming,152,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming @ 75 paise/ min. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,KO,180 Days,NULL,18,NULL,,,,
VI,KOLKATA,Roaming,252,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming is free. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,KO,180 Days,NULL,18,NULL,,,,
VI,CHENNAI,Roaming,152,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming @ 75 paise/ min. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,CH,180 Days,NULL,18,NULL,,,,
VI,CHENNAI,Roaming,252,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming is free. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,CH,180 Days,NULL,18,NULL,,,,
